insee;nom;altitude;code_postal;longitude;latitude;pop99;surface;departement;region;indicatif
65168;Esquièze-Sère;720;65120;-2.9094638702136E-005;0.74830991679257;464;1.54;65;MP;5
65169;Estaing;1000;65400;-0.0030543261389753;0.74954136248062;67;74.61;65;MP;5
65170;Estampures;260;65220;0.0049450937910056;0.75697837298272;77;5.58;65;MP;5
65171;Estarvielle;1000;65510|65240;0.0072479681967458;0.74735484064665;29;0.82;65;MP;5
65172;Estensan;1004;65170;0.006006847223647;0.74734998037765;35;1.57;65;MP;5
65173;Esterre;750;65120;0.00012119565958728;0.74828568202664;199;1.82;65;MP;5
65174;Estirac;166;65700;0.00056723198609221;0.75918426931364;101;5.22;65;MP;5
65175;Ferrère;700;65370;0.0093908490388104;0.74969649161412;55;58.02;65;MP;5
65176;Ferrières;571;65560;-0.0045766371318147;0.75067094225699;110;17.47;65;MP;5
65177;Fontrailles;284;65220;0.0061765280357878;0.75649354450628;147;9.13;65;MP;5
65178;Fréchède;240;65220;0.0045184652671993;0.75688143391904;39;5.48;65;MP;5
65179;Fréchendets;520;65130;0.0041839381645487;0.75157754887108;21;2.03;65;MP;5
65180;Fréchet-Aure;760;65240;0.0065062034519018;0.7492989482424;10;3.46;65;MP;5
65181;Fréchou-Fréchet;439;65190;0.0027682841726236;0.75355561177072;88;3.04;65;MP;5
65182;Gaillagos;940;65400;-0.0030252316242147;0.75015701874562;81;8.54;65;MP;5
65183;Galan;360;65330;0.0071267553559985;0.75439916804601;804;13.82;65;MP;5
65184;Galez;390;65330;0.0070831221663105;0.75377858493299;145;7.33;65;MP;5
65185;Gardères;400;65320;-0.001924714243439;0.75538819949584;381;15.39;65;MP;5
65186;Gaudent;584;65370;0.009914447315066;0.7503849187559;45;1.60;65;MP;5
65187;Gaussan;350;65670;0.0084987758981612;0.75451068791666;114;7.76;65;MP;5
65188;Gavarnie;1365;65120;-0.00016968090966875;0.74582279065054;164;84.19;65;MP;5
65189;Gayan;254;65320;0.00073691292827025;0.75585844716532;252;2.76;65;MP;5
65190;Gazave;540;65250;0.0073109920079723;0.75114605019545;68;7.37;65;MP;5
65191;Gazost;769;65100;0.00018907151495259;0.75103459690382;117;41.31;65;MP;5
65192;Gèdre;1001;65120;0.00036360445250555;0.74675849229954;291;143.39;65;MP;5
65193;Gembrie;502;65370;0.010055034132595;0.75030735418916;75;0.99;65;MP;5
65194;Générest;520;65150;0.0092017593999282;0.75106369193875;98;12.05;65;MP;5
65195;Génos;964;65510|65240;0.0070346541949169;0.74719485124415;127;23.92;65;MP;5
